Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,46090.000000,46750.000000,45650.000000,45740.000000,43243.500000,1808100
2019-12-12,45780.000000,46340.000000,44740.000000,44870.000000,42420.984375,1952400
2019-12-13,45400.000000,45460.000000,44880.000000,44930.000000,42477.710938,1764500
2019-12-16,44990.000000,45890.000000,44990.000000,45460.000000,42978.785156,1592000
2019-12-17,45800.000000,45980.000000,45310.000000,45520.000000,43035.511719,1082900
2019-12-18,44970.000000,45100.000000,44250.000000,44500.000000,42071.183594,1399700
2019-12-19,44260.000000,44500.000000,43670.000000,43720.000000,41333.753906,1308700
2019-12-20,43020.000000,43660.000000,42950.000000,43200.000000,40842.136719,1532400
2019-12-23,43360.000000,43700.000000,43030.000000,43260.000000,40898.867188,795500
2019-12-24,43480.000000,43550.000000,43060.000000,43260.000000,40898.867188,638000
2019-12-25,43430.000000,43530.000000,43270.000000,43370.000000,41002.855469,475300
2019-12-26,43470.000000,43700.000000,43340.000000,43550.000000,41173.035156,647000
2019-12-27,43730.000000,44020.000000,43570.000000,43810.000000,41418.843750,638000
2019-12-30,43810.000000,44020.000000,43500.000000,43970.000000,41570.109375,621300
2020-01-06,43010.000000,43090.000000,42510.000000,42740.000000,40407.246094,1154600
2020-01-07,43040.000000,43500.000000,42890.000000,42940.000000,40596.328125,1167600
2020-01-08,42500.000000,42840.000000,41610.000000,42640.000000,40312.703125,1484400
2020-01-09,43550.000000,43600.000000,43160.000000,43380.000000,41012.316406,1030800
2020-01-10,43220.000000,43780.000000,43140.000000,43440.000000,41069.039063,826300
2020-01-14,43850.000000,43940.000000,42940.000000,43200.000000,40842.136719,1203500
2020-01-15,43000.000000,43300.000000,42880.000000,43070.000000,40719.230469,755900
2020-01-16,42940.000000,43040.000000,42700.000000,42960.000000,40615.238281,698700
2020-01-17,43170.000000,43230.000000,42900.000000,42990.000000,40643.597656,763600
2020-01-20,43090.000000,43290.000000,42980.000000,42990.000000,40643.597656,817500
2020-01-21,43000.000000,43250.000000,42960.000000,43110.000000,40757.050781,562800
2020-01-22,43210.000000,43350.000000,43060.000000,43320.000000,40955.589844,702200
2020-01-23,43320.000000,43560.000000,43170.000000,43530.000000,41154.125000,863700
2020-01-24,43700.000000,43880.000000,43510.000000,43700.000000,41314.847656,840600
2020-01-27,43080.000000,43110.000000,42310.000000,42400.000000,40085.800781,972100
2020-01-28,42080.000000,42660.000000,41970.000000,42600.000000,40274.886719,975800
2020-01-29,42590.000000,42870.000000,42400.000000,42720.000000,40388.335938,815200
2020-01-30,42800.000000,42800.000000,41920.000000,42270.000000,39962.894531,1150300
2020-01-31,41120.000000,41250.000000,40170.000000,40770.000000,38544.765625,2577800
2020-02-03,38670.000000,40130.000000,38000.000000,40040.000000,37854.613281,2607200
2020-02-04,40000.000000,40210.000000,39640.000000,40100.000000,37911.335938,1296700
2020-02-05,40740.000000,40920.000000,40210.000000,40430.000000,38223.324219,926500
2020-02-06,40790.000000,41100.000000,40470.000000,40900.000000,38667.671875,1330700
2020-02-07,40720.000000,40890.000000,40410.000000,40500.000000,38289.503906,1186900
2020-02-10,40300.000000,40840.000000,40290.000000,40650.000000,38431.316406,899900
2020-02-12,40600.000000,40720.000000,40400.000000,40560.000000,38346.226563,761000
2020-02-13,40400.000000,40470.000000,40040.000000,40190.000000,37996.421875,878600
2020-02-14,39980.000000,40030.000000,39500.000000,39840.000000,37665.523438,934000
2020-02-17,39840.000000,40150.000000,39670.000000,40000.000000,37816.792969,928200
2020-02-18,39900.000000,39970.000000,39710.000000,39790.000000,37618.257813,694200
2020-02-19,39920.000000,40210.000000,39830.000000,40050.000000,37864.062500,918700
2020-02-20,40500.000000,40540.000000,40020.000000,40100.000000,37911.335938,738300
2020-02-21,40000.000000,40050.000000,39860.000000,39950.000000,37769.519531,915500
2020-02-25,38100.000000,39490.000000,38100.000000,39230.000000,37088.820313,1301200
